Relatório de Scan - 172.16.32.55
Tempo total: 15.13 segundos
------------------------------------------------------------
PORTA    | SERVIÇO         | BANNER                        
------------------------------------------------------------
21       | FTP             | 220 (vsFTPd 2.3.4)            
22       | SSH             | SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1 Protocol mis
25       | SMTP            | 220 metasploitable.localdomain ESMTP Postfix (Ubun
80       | HTTP            | <html><head><title>Metasploitable2 - Linux</title>
111      | SUNRPC          | Sem banner disponível         
139      | NETBIOS-SSN     | Sem banner disponível         
445      | MICROSOFT-DS    | Sem banner disponível         
512      | EXEC            | Where are you?               
513      | LOGIN           | Sem banner disponível         
514      | CMD             |                               
